id,Spanish
test,test
dialogue_0,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."
dialogue_1,"Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
dialogue_2,"Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
music,Música
effects,Efectos
close,Cerrar
options,Opciones
mask.life,Robar vida
mask.damage,Extra daño
mask.speed,Extra velocidad
death,Has muerto. ¿Quieres jugar de nuevo?
restart,Jugar
quit,Salir
play,Jugar
credits,Créditos
credits.value,Hecho por Bita y Nacho.\nhttps://fregs-games.itch.io/\nX
nice,Genial
cameraShake,Camera shake
level,Nivel
upgrade.shotPoints,Número de disparos
upgrade.damage,Daño de disparos
upgrade.speed,Velocidad
upgrade.health,Salud
upgrade.shotspeed,Velocidad de disparo
upgrade.shotPoints.desc,Aumenta la cantidad de disparos simultáneos.
upgrade.damage.desc,Aumenta el daño de los disparos.
upgrade.speed.desc,Aumenta la velocidad de movimiento.
upgrade.health.desc,Aumenta la salud en un 10% y te cura.
upgrade.shotspeed.desc,Aumenta la velocidad de los disparos.
ok,Vale
mask.tuto,Cambia de máscara con Q y E
maskObtained,Máscara mejorada:
mask.speed.name,Conejo
mask.speed.desc,Aumenta aún más la velocidad de movimiento.
mask.damage.name,Cabra
mask.damage.desc,Aumenta aún más el daño.
mask.life.name,Murciélago
mask.life.desc,Aumenta la cantidad de vida obtenida.
